home,score,away,year
Qatar ,Match 1, Ecuador,2026
Senegal ,Match 2, Netherlands,2026
Qatar ,Match 18, Senegal,2026
Netherlands ,Match 19, Ecuador,2026
Ecuador ,Match 35, Senegal,2026
Netherlands ,Match 36, Qatar,2026
England ,Match 3, Iran,2026
United States ,Match 4, Wales,2026
Wales ,Match 17, Iran,2026
England ,Match 20, United States,2026
Wales ,Match 33, England,2026
Iran ,Match 34, United States,2026
Argentina ,Match 8, Saudi Arabia,2026
Mexico ,Match 7, Poland,2026
Poland ,Match 22, Saudi Arabia,2026
Argentina ,Match 24, Mexico,2026
Poland ,Match 39, Argentina,2026
Saudi Arabia ,Match 40, Mexico,2026
Denmark ,Match 6, Tunisia,2026
France ,Match 5, Australia,2026
Tunisia ,Match 21, Australia,2026
France ,Match 23, Denmark,2026
Australia ,Match 37, Denmark,2026
Tunisia ,Match 38, France,2026
Germany ,Match 11, Japan,2026
Spain ,Match 10, Costa Rica,2026
Japan ,Match 25, Costa Rica,2026
Spain ,Match 28, Germany,2026
Japan ,Match 43, Spain,2026
Costa Rica ,Match 44, Germany,2026
Morocco ,Match 12, Croatia,2026
Belgium ,Match 9, Canada,2026
Belgium ,Match 26, Morocco,2026
Croatia ,Match 27, Canada,2026
Croatia ,Match 41, Belgium,2026
Canada ,Match 42, Morocco,2026
Switzerland ,Match 13, Cameroon,2026
Brazil ,Match 16, Serbia,2026
Cameroon ,Match 29, Serbia,2026
Brazil ,Match 31, Switzerland,2026
Serbia ,Match 47, Switzerland,2026
Cameroon ,Match 48, Brazil,2026
Uruguay ,Match 14, South Korea,2026
Portugal ,Match 15, Ghana,2026
South Korea ,Match 30, Ghana,2026
Portugal ,Match 32, Uruguay,2026
Ghana ,Match 45, Uruguay,2026
South Korea ,Match 46, Portugal,2026
Winners Group A,Match 49,Runners-up Group B,2026
Winners Group C,Match 50,Runners-up Group D,2026
Winners Group D,Match 52,Runners-up Group C,2026
Winners Group B,Match 51,Runners-up Group A,2026
Winners Group E,Match 53,Runners-up Group F,2026
Winners Group G,Match 54,Runners-up Group H,2026
Winners Group F,Match 55,Runners-up Group E,2026
Winners Group H,Match 56,Runners-up Group G,2026
Winners Match 53,Match 58,Winners Match 54,2026
Winners Match 49,Match 57,Winners Match 50,2026
Winners Match 55,Match 60,Winners Match 56,2026
Winners Match 51,Match 59,Winners Match 52,2026
Winners Match 57,Match 61,Winners Match 58,2026
Winners Match 59,Match 62,Winners Match 60,2026
Losers Match 61,Match 63,Losers Match 62,2026
Winners Match 61,Match 64,Winners Match 62,2026
